Vendedor,NroFactura,FechaFactura,Cliente,MontoSinImp,Impuestos,Costo,MontoFactura,Tipo,,,,
Luz,52,1/14/2014,"Morris, Devin",130.96,34.81,60,165.77,Persona,,,,
Laura,53,1/14/2014,"Evans, Devin",585.02,155.5,57,740.52,Persona,,,,
Luis,54,1/14/2014,"Hill, Lucas",296.33,78.77,97,375.1,Persona,,,,
Pedro,55,1/14/2014,"Sharma, Ethan",285.82,75.97,72,361.79,Persona,,,,
Luis,56,1/15/2014,"Evans, Devin",274.35,72.92,83,347.27,Persona,,,,
Penelope,57,1/15/2014,"Gao, Ronnie",579.28,153.98,58,733.26,Persona,,,,
Maria,58,1/15/2014,"Bailey, Angel",312.58,83.09,97,395.67,Persona,,,,
Pedro,59,1/15/2014,Grupo 3 Estudio de Abogados,319.28,84.86,82,404.14,Empresa,,,,
Luis,60,1/15/2014,Englewood Cnia,525.75,139.75,106,665.5,Empresa,,,,
Pedro,61,1/15/2014,Sunbury Cnia,112.8,29.98,80,142.78,Empresa,,,,
Luis,62,1/15/2014,"Richardson, Juan",311.63,82.83,59,394.46,Persona,,,,
Carla,63,1/15/2014,Coffs Harbour Cnia,224.64,59.71,63,284.35,Empresa,,,,
Alfonso,64,1/15/2014,"Martinez, Marco",173.02,45.99,57,219.01,Persona,,,,
Luz,65,1/15/2014,"Diaz, Byron",601.27,159.82,84,761.09,Persona,,,,
Juan,66,1/16/2014,"Morgan, Brian",600.31,159.57,83,759.88,Persona,,,,
Juan,67,1/16/2014,"Richardson, Juan",481.78,128.06,64,609.84,Persona,,,,
Juan,68,1/17/2014,Fiorilo Transportes y Correo,719.8,191.33,118,911.13,Empresa,,,,
Carla,69,1/17/2014,"Evans, Noah",695.9,184.98,111,880.88,Persona,,,,
Luz,70,1/17/2014,"Gonzales, Caleb",581.19,154.49,115,735.68,Persona,,,,
Pedro,71,1/17/2014,Sunbury Cnia,227.51,60.47,82,287.98,Empresa,,,,
Juan,72,1/17/2014,"Hill, Lucas",330.75,87.91,64,418.66,Persona,,,,
Penelope,73,1/17/2014,"Rodolfo, Chavez",513.32,136.45,107,649.77,Persona,,,,
John,74,1/17/2014,Englewood Cnia,253.32,67.33,64,320.65,Empresa,,,,
Luis,75,1/17/2014,Falmouth Cnia,481.78,128.06,56,609.84,Empresa,,,,
Carla,76,1/17/2014,"Reed, Richard",483.69,128.57,86,612.26,Persona,,,,
Luis,77,1/18/2014,Burbank Cnia,136.7,36.33,113,173.03,Empresa,,,,
Luz,78,1/18/2014,"Sanchez, Ian",119.49,31.76,103,151.25,Persona,,,,
Penelope,79,1/18/2014,"Lopez, Blake",510.46,135.68,84,646.14,Persona,,,,
Alfonso,80,1/19/2014,"Rivera, Adrian",621.34,165.16,69,786.5,Persona,,,,
Carla,81,1/19/2014,Lancaster Vestimenta,439.72,116.88,89,556.6,Empresa,,,,
John,82,1/19/2014,"Rodriguez, Thomas",334.57,88.93,101,423.5,Persona,,,,
Luz,83,1/20/2014,Burbank Cnia,382.36,101.64,69,484,Empresa,,,,
Penelope,84,1/20/2014,"Gray, Isaiah",196.92,52.34,64,249.26,Persona,,,,
Luis,85,1/20/2014,"Griffin, Kyle",205.52,54.63,59,260.15,Persona,,,,
Alfonso,86,1/20/2014,"Rodriguez, Thomas",249.49,66.32,57,315.81,Persona,,,,
Maria,87,1/20/2014,"Mitchell, Marcus",540.09,143.56,64,683.65,Persona,,,,
Pedro,88,1/20/2014,"Rodriguez, Thomas",812.52,215.98,109,1028.5,Persona,,,,
Carla,89,1/21/2014,Leo Seguros,374.72,99.6,119,474.32,Empresa,,,,
Pedro,90,1/21/2014,Boulder Cnia,297.29,79.02,98,376.31,Empresa,,,,
Carla,91,1/21/2014,"Adams, Fernando",237.07,63.01,117,300.08,Persona,,,,
Alfonso,92,1/22/2014,Fiorilo Transportes y Correo,305.89,81.31,62,387.2,Empresa,,,,
Alfonso,93,1/22/2014,"Martinez, Marco",229.42,60.98,82,290.4,Persona,,,,
Luis,94,1/22/2014,Oleagi Agropecuaria,361.34,96.04,70,457.38,Empresa,,,,
Luz,95,1/22/2014,Kiela Cnia,329.79,87.66,73,417.45,Empresa,,,,
Penelope,96,1/23/2014,Transportes Pampa,799.14,212.42,99,1011.56,Empresa,,,,
Pedro,97,1/23/2014,"Chen, Dylan",317.36,84.36,61,401.72,Persona,,,,
Penelope,98,1/23/2014,"Turner, Richard",172.07,45.73,68,217.8,Persona,,,,
John,99,1/23/2014,Viga Ingenieros,576.41,153.22,83,729.63,Empresa,,,,
Laura,100,1/23/2014,"Hill, Lucas",820.17,218.01,69,1038.18,Persona,,,,
Juan,101,1/24/2014,"Bebbington, Mark",737,195.91,92,932.91,Persona,,,,
Laura,102,1/24/2014,"Arthur, Jermaine",208.39,55.39,60,263.78,Persona,,,,
Luis,103,1/24/2014,"Bryant, Seth",308.76,82.07,109,390.83,Persona,,,,
Luz,104,1/25/2014,Buffalo Cnia,217.95,57.93,110,275.88,Empresa,,,,
John,105,1/25/2014,Rochester Cnia,149.13,39.63,65,188.76,Empresa,,,,
John,106,1/25/2014,Fiorilo Transportes y Correo,598.4,159.06,88,757.46,Empresa,,,,
Luz,107,1/25/2014,"Evans, Devin",737.96,196.16,107,934.12,Persona,,,,
Pedro,108,1/25/2014,"Jackson, Noah",234.2,62.25,105,296.45,Persona,,,,
Luz,109,1/25/2014,"Mitchell, Marcus",647.15,172.02,69,819.17,Persona,,,,
Pedro,110,1/26/2014,"Rodolfo, Chavez",486.56,129.33,117,615.89,Persona,,,,
Juan,111,1/26/2014,"Jackson, Nicholas",335.53,89.18,55,424.71,Persona,,,,
Maria,112,1/27/2014,"Rodriguez, Thomas",550.6,146.36,117,696.96,Persona,,,,
Luis,113,1/27/2014,Oregon Cnia,617.52,164.14,100,781.66,Empresa,,,,
Pedro,114,1/27/2014,Round Ventures,265.75,70.63,103,336.38,Empresa,,,,
Luis,115,1/27/2014,Grupo 3 Estudio de Abogados,504.72,134.16,57,638.88,Empresa,,,,
Luz,116,1/27/2014,Kolkata Cnia,357.51,95.03,101,452.54,Empresa,,,,
Maria,117,1/28/2014,"Perez, Jeremy",380.45,101.13,63,481.58,Persona,,,,
Luz,118,1/28/2014,"Jackson, Nicholas",262.88,69.87,57,332.75,Persona,,,,
Maria,119,1/28/2014,Buffalo Cnia,667.22,177.36,58,844.58,Empresa,,,,
Juan,120,1/28/2014,Holyoke Producciones,132.88,35.31,63,168.19,Empresa,,,,
Alfonso,121,1/28/2014,Gold Coast Accesorios,530.53,141.02,114,671.55,Empresa,,,,
Alfonso,122,1/28/2014,"Reed, Richard",479.87,127.55,101,607.42,Persona,,,,
Luz,123,1/28/2014,Orlando Cnia,409.13,108.75,117,517.88,Empresa,,,,
Carla,124,1/29/2014,"Hill, Lucas",233.24,62,61,295.24,Persona,,,,
Penelope,125,1/29/2014,"Green, James",415.82,110.53,69,526.35,Persona,,,,
Alfonso,126,1/29/2014,Buffalo Cnia,700.68,186.25,62,886.93,Empresa,,,,
Alfonso,127,1/29/2014,"Kumar, Leonard",534.35,142.04,81,676.39,Persona,,,,
Pedro,128,1/29/2014,"Adams, Fernando",597.44,158.81,108,756.25,Persona,,,,
Maria,129,1/29/2014,Leo Seguros,739.87,196.67,87,936.54,Empresa,,,,
Carla,130,1/29/2014,"Gonzales, Caleb",702.59,186.76,86,889.35,Persona,,,,
Alfonso,131,1/30/2014,Dallas Producciones,341.26,90.71,63,431.97,Empresa,,,,
Maria,132,1/30/2014,Orlando Cnia,341.26,90.71,106,431.97,Empresa,,,,
Alfonso,133,1/31/2014,"Diaz, Byron",668.18,177.61,97,845.79,Persona,,,,
Maria,134,1/31/2014,"Arthur, Jermaine",608.91,161.86,96,770.77,Persona,,,,
Alfonso,135,1/31/2014,Corda Empresa de Correos,100.37,26.68,113,127.05,Empresa,,,,
Maria,136,1/31/2014,"Hill, Lucas",547.74,145.59,103,693.33,Persona,,,,
Carla,137,1/31/2014,"Sharma, Ethan",771.42,205.05,117,976.47,Persona,,,,
Laura,138,1/31/2014,"Griffin, Kyle",809.65,215.22,101,1024.87,Persona,,,,
Pedro,139,1/31/2014,Oregon Cnia,648.11,172.27,97,820.38,Empresa,,,,
Laura,140,2/1/2014,Sunbury Cnia,342.22,90.96,95,433.18,Empresa,,,,
Luis,141,2/1/2014,"Evans, Noah",183.54,48.78,83,232.32,Persona,,,,
Carla,142,2/1/2014,"Adams, Wyatt",478.91,127.3,93,606.21,Persona,,,,
Alfonso,143,2/1/2014,Semillas Santo Mongo,853.62,226.91,82,1080.53,Empresa,,,,
Juan,144,2/2/2014,"Gao, Ronnie",799.14,212.42,87,1011.56,Persona,,,,
Luis,145,2/2/2014,"Sanchez, Eduardo",321.19,85.37,105,406.56,Persona,,,,
John,146,2/2/2014,"Perez, Jeremy",780.02,207.34,80,987.36,Persona,,,,
Luis,147,2/3/2014,Lake Oswego Cnia,740.83,196.92,58,937.75,Empresa,,,,
Luis,148,2/3/2014,"Johnson, Benjamin",214.13,56.91,99,271.04,Persona,,,,
Luz,149,2/3/2014,"Baileya, Angela",831.64,221.06,77,1052.7,Persona,,,,
Carla,150,2/3/2014,"Ortega, Marvin",145.3,38.62,94,183.92,Persona,,,,
John,151,2/4/2014,"Davis, John",709.28,188.54,102,897.82,Persona,,,,
Maria,152,2/4/2014,"Pal, Ricardo",454.06,120.69,107,574.75,Persona,,,,
Carla,153,2/4/2014,"Kumar, Leonard",294.42,78.26,57,372.68,Persona,,,,
Luz,154,2/4/2014,Grupo Ases,96.55,25.66,117,122.21,Empresa,,,,
Luis,155,2/5/2014,Oregon Cnia,240.89,64.03,80,304.92,Empresa,,,,
Alfonso,156,2/5/2014,Longview Cnia,686.34,182.44,56,868.78,Empresa,,,,
Juan,157,2/5/2014,Charleston Cnia,543.91,144.58,65,688.49,Empresa,,,,
Pedro,158,2/6/2014,"Washington, Jack",541.04,143.82,59,684.86,Persona,,,,
John,159,2/6/2014,"Ross, Christian",280.08,74.45,103,354.53,Persona,,,,
Pedro,160,2/6/2014,"Davis, John",262.88,69.87,95,332.75,Persona,,,,
Luz,161,2/6/2014,Canoga Parque,140.52,37.35,57,177.87,Empresa,,,,
Alfonso,162,2/6/2014,"Morris, Timothy",615.6,163.64,91,779.24,Persona,,,,
Luz,163,2/6/2014,"Arthur, Jermaine",525.75,139.75,96,665.5,Persona,,,,
Luz,164,2/7/2014,"Morris, Timothy",544.87,144.83,67,689.7,Persona,,,,
Maria,165,2/7/2014,"Martinez, Marco",524.79,139.5,94,664.29,Persona,,,,
Luz,166,2/8/2014,Grupo Ases,390.97,103.92,62,494.89,Empresa,,,,
Pedro,167,2/8/2014,Trenton Cnia,788.62,209.63,96,998.25,Empresa,,,,
Pedro,168,2/8/2014,"Kumar, Leonard",559.21,148.64,92,707.85,Persona,,,,
Laura,169,2/8/2014,Charleston Cnia,279.13,74.19,78,353.32,Empresa,,,,
Laura,170,2/8/2014,"Mitchell, Connor",262.88,69.87,82,332.75,Persona,,,,
Alfonso,171,2/8/2014,"Green, James",530.53,141.02,77,671.55,Persona,,,,
Laura,172,2/9/2014,"Turner, Richard",706.42,187.77,70,894.19,Persona,,,,
Alfonso,173,2/9/2014,"Ramos, Dwayne",602.22,160.08,82,762.3,Persona,,,,
Luz,174,2/9/2014,"Sanchez, Eduardo",688.25,182.95,83,871.2,Persona,,,,
Maria,175,2/10/2014,Jota Cnia,227.51,60.47,67,287.98,Empresa,,,,
Alfonso,176,2/10/2014,Trenton Cnia,322.14,85.63,107,407.77,Empresa,,,,
Penelope,177,2/11/2014,Holyoke Producciones,418.69,111.29,99,529.98,Empresa,,,,
Penelope,178,2/11/2014,"Richardson, Juan",175.89,46.75,84,222.64,Persona,,,,
Luis,179,2/11/2014,"Morgan, Brian",439.72,116.88,104,556.6,Persona,,,,
Maria,180,2/12/2014,"Zeng, Omar",473.18,125.77,85,598.95,Persona,,,,
Alfonso,181,2/12/2014,"Pal, Ricardo",111.85,29.72,59,141.57,Persona,,,,
Pedro,182,2/12/2014,Sunbury Cnia,529.57,140.77,111,670.34,Empresa,,,,
Maria,183,2/13/2014,"Mitchell, Marcus",337.44,89.69,109,427.13,Persona,,,,
Laura,184,2/13/2014,"Lewis, Charles",661.49,175.83,55,837.32,Persona,,,,
John,185,2/13/2014,"Hill, Lucas",520.97,138.48,87,659.45,Persona,,,,
Carla,186,2/13/2014,"Washington, Jack",399.57,106.21,88,505.78,Persona,,,,
Juan,187,2/14/2014,Madridia Cnia,396.7,105.45,105,502.15,Empresa,,,,
Carla,188,2/14/2014,"Bebbington, Mark",314.5,83.59,101,398.09,Persona,,,,
Laura,189,2/14/2014,Dallas Producciones,789.58,209.88,106,999.46,Empresa,,,,
Pedro,190,2/14/2014,"Sanchez, Ian",141.48,37.6,116,179.08,Persona,,,,
Luz,191,2/14/2014,"Perez, Jeremy",216.99,57.68,75,274.67,Persona,,,,
Carla,192,2/14/2014,"Bryant, Seth",519.06,137.97,86,657.03,Persona,,,,
Alfonso,193,2/14/2014,"Washington, Jack",446.41,118.66,55,565.07,Persona,,,,
Juan,194,2/15/2014,"Gao, Ronnie",471.26,125.27,105,596.53,Persona,,,,
Pedro,195,2/15/2014,Jota Cnia,496.12,131.87,111,627.99,Empresa,,,,
Laura,196,2/15/2014,"Sharma, Ethan",748.47,198.96,112,947.43,Persona,,,,
Juan,197,2/15/2014,"Miller, Seth",729.36,193.87,61,923.23,Persona,,,,
Luis,198,2/16/2014,Boulder Cnia,527.66,140.26,77,667.92,Empresa,,,,
Luis,199,2/16/2014,"Rivera, Adrian",197.88,52.59,110,250.47,Persona,,,,
Juan,200,2/16/2014,"Johnson, Austin",766.64,203.78,88,970.42,Persona,,,,
Luis,201,2/16/2014,"Liu, Louis",461.7,122.73,98,584.43,Persona,,,,
John,202,2/16/2014,"Hernandez, Micheal",423.47,112.56,113,536.03,Persona,,,,
Maria,203,2/16/2014,"Mitchell, Connor",851.71,226.4,119,1078.11,Persona,,,,
Juan,204,2/16/2014,"Zeng, Omar",173.98,46.24,94,220.22,Persona,,,,
John,205,2/16/2014,South Portland Cnia,467.44,124.25,62,591.69,Empresa,,,,
Carla,206,2/16/2014,Orlando Cnia,795.31,211.41,71,1006.72,Empresa,,,,
Luz,207,2/16/2014,"Morris, Devin",395.75,105.19,101,500.94,Persona,,,,
John,208,2/17/2014,"Jackson, Nicholas",400.53,106.46,106,506.99,Persona,,,,
John,209,2/17/2014,"Rodriguez, Thomas",156.77,41.67,83,198.44,Persona,,,,
Juan,210,2/17/2014,Viga Ingenieros,105.15,27.95,81,133.1,Empresa,,,,
Pedro,211,2/17/2014,Canoga Parque,569.72,151.44,106,721.16,Empresa,,,,
John,212,2/18/2014,"Richardson, Juan",580.24,154.23,104,734.47,Persona,,,,
Luis,213,2/18/2014,"Griffin, Kyle",847.89,225.38,109,1073.27,Persona,,,,
Luz,214,2/18/2014,Charles Cnia,455.97,121.2,85,577.17,Empresa,,,,
Pedro,215,2/18/2014,Dallas Producciones,725.53,192.86,75,918.39,Empresa,,,,
Maria,216,2/18/2014,"Martinez, Marco",313.54,83.34,62,396.88,Persona,,,,
Laura,217,2/19/2014,Wapato Cnia,246.63,65.55,69,312.18,Empresa,,,,
Pedro,218,2/19/2014,"Adams, Wyatt",663.4,176.34,58,839.74,Persona,,,,
Maria,219,2/19/2014,Kiela Cnia,661.49,175.83,115,837.32,Empresa,,,,
Juan,220,2/19/2014,"Arthur, Jermaine",758.03,201.5,99,959.53,Persona,,,,
Alfonso,221,2/19/2014,"Mitchell, Marcus",314.5,83.59,76,398.09,Persona,,,,
Maria,222,2/19/2014,Wapato Cnia,241.85,64.28,57,306.13,Empresa,,,,
Alfonso,223,2/19/2014,Boulder Cnia,117.58,31.25,59,148.83,Empresa,,,,
Laura,224,2/20/2014,"Ramos, Dwayne",567.81,150.93,101,718.74,Persona,,,,
Pedro,225,2/20/2014,"Johnson, Austin",496.12,131.87,106,627.99,Persona,,,,
Luz,226,2/20/2014,Oregon Cnia,288.69,76.73,58,365.42,Empresa,,,,
Laura,227,2/21/2014,Geelong Cnia,554.43,147.37,100,701.8,Empresa,,,,
Laura,228,2/21/2014,"Ross, Christian",135.74,36.08,83,171.82,Persona,,,,
John,229,2/21/2014,Leo Seguros,592.66,157.54,101,750.2,Empresa,,,,
Maria,230,2/22/2014,"Mitchell, Marcus",519.06,137.97,87,657.03,Persona,,,,
Luz,231,2/22/2014,Geelong Cnia,250.45,66.57,110,317.02,Empresa,,,,
Alfonso,232,2/22/2014,Coffs Harbour Cnia,734.14,195.14,72,929.28,Empresa,,,,
Carla,233,2/22/2014,"Ross, Christian",581.19,154.49,95,735.68,Persona,,,,
John,234,2/22/2014,"Adams, Wyatt",386.19,102.65,58,488.84,Persona,,,,
Luz,235,2/23/2014,South Portland Cnia,439.72,116.88,109,556.6,Empresa,,,,
Laura,236,2/23/2014,Greenville Cnia,845.98,224.87,91,1070.85,Empresa,,,,
Pedro,237,2/23/2014,"Morris, Devin",707.37,188.03,95,895.4,Persona,,,,
Pedro,238,2/23/2014,"Perez, Jeremy",332.66,88.42,80,421.08,Persona,,,,
Alfonso,239,2/23/2014,"Chen, Dylan",822.08,218.52,99,1040.6,Persona,,,,
Carla,240,2/24/2014,"Jackson, Noah",540.09,143.56,111,683.65,Persona,,,,
Laura,241,2/24/2014,Fiorilo Transportes y Correo,307.8,81.82,120,389.62,Empresa,,,,
Pedro,242,2/24/2014,"Edwards, Nathan",774.28,205.82,116,980.1,Persona,,,,
Penelope,243,2/24/2014,"Jackson, Nicholas",859.36,228.43,87,1087.79,Persona,,,,
Luz,244,2/24/2014,"Johnson, Dalton",280.08,74.45,85,354.53,Persona,,,,
Laura,245,2/25/2014,Charles Cnia,131.92,35.06,119,166.98,Empresa,,,,
John,246,2/25/2014,Paris Cnia,111.85,29.72,83,141.57,Empresa,,,,
Penelope,247,2/25/2014,Gold Coast Accesorios,120.45,32.01,120,152.46,Empresa,,,,
Laura,248,2/25/2014,"Diaz, Gabriel",218.91,58.18,113,277.09,Persona,,,,
Pedro,249,2/25/2014,"Evans, Devin",781.93,207.85,68,989.78,Persona,,,,
Laura,250,2/26/2014,"Anderson, Nicholas",850.76,226.14,110,1076.9,Persona,,,,
Penelope,251,2/26/2014,Fiorilo Transportes y Correo,346.04,91.98,105,438.02,Empresa,,,,
John,252,2/26/2014,Grupo Ases,544.87,144.83,63,689.7,Empresa,,,,
Luz,253,2/27/2014,"Ramos, Dwayne",269.57,71.65,82,341.22,Persona,,,,
Carla,254,2/27/2014,Grupo Ases,186.41,49.54,80,235.95,Empresa,,,,
John,255,2/28/2014,Jota Cnia,817.3,217.25,63,1034.55,Empresa,,,,
Penelope,256,2/28/2014,"Jackson, Nicholas",281.04,74.7,119,355.74,Persona,,,,
Penelope,257,2/28/2014,Transportes Pampa,519.06,137.97,99,657.03,Empresa,,,,
Carla,258,3/1/2014,Buffalo Cnia,365.16,97.06,109,462.22,Empresa,,,,
Alfonso,259,3/1/2014,"Rodolfo, Chavez",637.59,169.48,61,807.07,Persona,,,,
Maria,260,3/1/2014,Oleagi Agropecuaria,526.71,140,81,666.71,Empresa,,,,
Luz,261,3/1/2014,"Ross, Christian",531.49,141.27,110,672.76,Persona,,,,
Alfonso,262,3/2/2014,Lancaster Vestimenta,201.7,53.61,87,255.31,Empresa,,,,
Alfonso,263,3/2/2014,Kiela Cnia,418.69,111.29,79,529.98,Empresa,,,,
Penelope,264,3/2/2014,Congo Mongo Estudio,823.99,219.03,115,1043.02,Empresa,,,,
John,265,3/3/2014,Greenville Cnia,186.41,49.54,93,235.95,Empresa,,,,
Carla,266,3/3/2014,"Garcia, James",109.93,29.22,69,139.15,Persona,,,,
Maria,267,3/3/2014,"Torres, Isaiah",210.3,55.9,100,266.2,Persona,,,,
Maria,268,3/4/2014,Transportes Pampa,672.96,178.88,101,851.84,Empresa,,,,
Juan,269,3/4/2014,"Ross, Christian",222.73,59.2,63,281.93,Persona,,,,
Maria,270,3/4/2014,Geelong Cnia,109.93,29.22,109,139.15,Empresa,,,,
Maria,271,3/5/2014,"Chen, Dylan",419.65,111.54,91,531.19,Persona,,,,
John,272,3/5/2014,"Ramos, Dwayne",477.95,127.05,80,605,Persona,,,,
Maria,273,3/5/2014,Sunbury Cnia,389.06,103.41,58,492.47,Empresa,,,,
John,274,3/5/2014,"Johnson, Dalton",151.04,40.14,114,191.18,Persona,,,,
Alfonso,275,3/5/2014,"Mitchell, Marcus",511.41,135.94,72,647.35,Persona,,,,
Penelope,276,3/6/2014,"Liu, Louis",657.66,174.82,109,832.48,Persona,,,,
Alfonso,277,3/6/2014,Paris Cnia,112.8,29.98,63,142.78,Empresa,,,,
Alfonso,278,3/6/2014,Wapato Cnia,261.92,69.62,88,331.54,Empresa,,,,
Penelope,279,3/6/2014,"Jackson, Noah",239.94,63.77,92,303.71,Persona,,,,
Luz,280,3/6/2014,"Kelly, Chase",709.28,188.54,73,897.82,Persona,,,,
Maria,281,3/6/2014,"Ramos, Dwayne",758.99,201.75,71,960.74,Persona,,,,
Pedro,282,3/7/2014,Wapato Cnia,843.11,224.11,86,1067.22,Empresa,,,,
Carla,283,3/7/2014,Kiela Cnia,236.11,62.76,113,298.87,Empresa,,,,
John,284,3/7/2014,"Gao, Ronnie",223.69,59.45,118,283.14,Persona,,,,
Luz,285,3/7/2014,Oleagi Agropecuaria,655.75,174.31,95,830.06,Empresa,,,,
Luis,286,3/7/2014,"Bebbington, Mark",462.66,122.98,92,585.64,Persona,,,,
Luis,287,3/8/2014,"Bebbington, Mark",207.44,55.13,72,262.57,Persona,,,,
Luis,288,3/8/2014,Longview Cnia,104.2,27.69,84,131.89,Empresa,,,,
Carla,289,3/8/2014,Kolkata Cnia,291.55,77.5,66,369.05,Empresa,,,,
John,290,3/8/2014,"Richardson, Juan",560.16,148.9,100,709.06,Persona,,,,
Luis,291,3/8/2014,"Perez, Jeremy",527.66,140.26,77,667.92,Persona,,,,
Laura,292,3/8/2014,"Perez, Jeremy",387.14,102.91,115,490.05,Persona,,,,
Luis,293,3/8/2014,"Diaz, Byron",811.56,215.73,87,1027.29,Persona,,,,
Carla,294,3/8/2014,Geelong Cnia,633.77,168.46,90,802.23,Empresa,,,,
Luis,295,3/8/2014,"Lopez, Blake",823.03,218.78,111,1041.81,Persona,,,,
Laura,296,3/9/2014,Corda Empresa de Correos,453.1,120.44,85,573.54,Empresa,,,,
Penelope,297,3/9/2014,"Gao, Ronnie",787.67,209.37,73,997.04,Persona,,,,
Luz,298,3/9/2014,"Reed, Richard",501.85,133.4,98,635.25,Persona,,,,
Maria,299,3/9/2014,Corda Empresa de Correos,550.6,146.36,104,696.96,Empresa,,,,
Penelope,300,3/9/2014,Holyoke Producciones,591.71,157.28,66,748.99,Empresa,,,,
Alfonso,301,3/9/2014,Transportes Pampa,151.04,40.14,112,191.18,Empresa,,,,
Carla,302,3/9/2014,"Miller, Seth",121.4,32.27,108,153.67,Persona,,,,
